"property","description","type","default","version","isEnum"
"alt","This attribute defines the alternative text describing the image","string","-","",false
"gap","Letter type unit distance between left and right sides","number","4","4.3.0",false
"icon","Custom icon type for an icon avatar","ReactNode","-","",false
"shape","The shape of avatar","circle | square","circle","",true
"size","The size of the avatar","number | large | small | default | { xs: number, sm: number, ...}","default","4.7.0",true
"src","The address of the image for an image avatar or image element","string | ReactNode","-","ReactNode: 4.8.0",false
"srcSet","A list of sources to use for different screen resolutions","string","-","",false
"draggable","Whether the picture is allowed to be dragged","boolean | 'true' | 'false'","-","",true
"crossOrigin","CORS settings attributes","'anonymous' | 'use-credentials' | ''","-","4.17.0",true
"onError","Handler when img load error, return false to prevent default fallback behavior","() => boolean","-","",false
